classe;couleur;R;G;B
112;#FF1042;255;16;66
121;#9C009C;156;0;156
122;#9C9C9C;156;156;156
123;#ADB5C6;173;181;198
124;#636363;99;99;99
131;#9C6300;156;99;0
132;#9C3100;156;49;0
133;#9C9C9C;156;156;156
141;#63FF00;99;255;0
142;#FF6331;255;99;49
211;#FFFF84;255;255;132
221;#FF6331;255;99;49
222;#FFCE9C;255;206;156
231;#63CE31;99;206;49
242;#FFCE9C;255;206;156
243;#CECE63;206;206;99
311;#00CE00;0;206;0
312;#009C63;0;156;99
313;#009C00;0;156;0
321;#9CCE63;156;206;99
322;#CECE00;206;206;0
324;#FFFF00;255;255;0
331;#FFFFCE;255;255;206
332;#FFFFFF;255;255;255
333;#9CCE9C;156;206;156
334;#101010;16;16;16
335;#F7FFFF;247;255;255
411;#9C63FF;156;99;255
412;#8484DE;132;132;222
421;#CE9CCE;206;156;206
423;#FFEFFF;255;239;255
511;#0063FF;0;99;255
512;#009CFF;0;156;255
521;#00CEFF;0;206;255
522;#63CEFF;99;206;255
523;#9CCEFF;156;206;255
