ESPECE;arachide;mil;gel;jachere
RENDEMENT_MOYEN;NA;NA;NA;NA
RENDEMENT_MIN;NA;NA;NA;NA
RENDEMENT_OPTIMAL;1.9;2;0;1
COULEUR_R;163;163;0;0
COULEUR_V;180;180;0;0
COULEUR_B;255;255;0;0
Tbase;10;12;0;0
Tmax;40;32;22;22
DEGRES_J_LevTbase;55;60;1000;1000
DEGRES_J_Flor;705;832;2000;2000
DEGRES_J_matPhyTbase;1605;1315;0;0
FREIN;0.4;1;1;1
CRACINE;6;9;9;10
CVIG;0.6;0.9;0.9;0.9
KMAX;1.2;1.2;1.25;1.25
CSTO;1;1;1;1
coeff_Fonction_Prod;2.8;2.4;3;3
NA_col19;NA;NA;NA;NA
NA_col20;NA;NA;NA;NA
NA_col21;NA;NA;NA;NA
NA_col22;NA;NA;NA;NA
NA_col23;NA;NA;NA;NA
NA_col24;NA;NA;NA;NA
NA_col25;NA;NA;NA;NA
NA_col26;NA;NA;NA;NA
NA_col27;NA;NA;NA;NA
NA_col28;NA;NA;NA;NA
NA_col29;NA;NA;NA;NA
NA_col30;NA;NA;NA;NA
NA_col31;NA;NA;NA;NA
NA_col32;NA;NA;NA;NA
NA_col33;NA;NA;NA;NA
NA_col34;NA;NA;NA;NA
NA_col35;NA;NA;NA;NA
NA_col36;NA;NA;NA;NA
NA_col37;NA;NA;NA;NA
NA_col38;NA;NA;NA;NA
NA_col39;NA;NA;NA;NA
NA_col40;NA;NA;NA;NA
NA_col41;NA;NA;NA;NA
NA_col42;NA;NA;NA;NA
NA_col43;NA;NA;NA;NA
NA_col44;NA;NA;NA;NA
ZonesClimatiques;0;0;0;0
BESOIN_N;60;24;0;0
DEBUT_BESOIN_N;0;0;0;0
FREIN_BESOIN_N;0;0;0;0
PRE_FLO_BESOIN_N;0;0;0;0
PRE_MAT_BESOIN_N;0;0;0;0
Tms;0.85;0.85;0;0
NA_col52;NA;NA;NA;NA
NA_col53;NA;NA;NA;NA
NA_col54;NA;NA;NA;NA
NA_col55;NA;NA;NA;NA
C_aer;0.44;0.44;0;0
C_rac;0.4;0.4;0;0
NA_col58;NA;NA;NA;NA
NA_col59;NA;NA;NA;NA
isLEG;true;false;false;false
ABSCISSION;0;0;NA;NA
isCouvert;false;false;false;false
HI;0.57;0.45;0;0
Pse;0.4;0.4;0;0
beta;0.961;0.96;0;0
SR_ratio;5.6;11.7;0;0
RootC_fixed;0.511;0.638;0;0
CN_ratio;32.5;60;0;0
adil;0;0;0;0
bdil;0;0;0;0
Type_Nacq;500Mat;Cst;0;0
a_Ndemand_ci;0;0;0;0
b_Ndemand_ci;0;0;0;0
coef_500Mat;0.0044;0;0;0
Dde;0;0;0;0
N_grain;3.5;1.7;0;0
especeRepousse;NA;NA;NA;NA
BESOIN_Ntot;NA;NA;NA;NA
PROF_MAX_RACINE;100;100;200;200
date_maj;18/08/2025;18/08/2025;19/06/2023;19/06/2023
