FERTIALT_NOM_ITK;;arachide_precmil;arachide_precjachere;jachere_precmil;jachere_precarachide;mil_precarachide;mil_precmil
FERTIALT_NOM_ALTERNATIVE;;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale
FERTIALT_ORDRE_ALTERNATIVE;;1;1;1;1;1;1
FERTIALT_ORDRE_APPORT;;1;1;1;1;1;1
FERTIALT_NOM_PRODUIT;;NPK;NPK;NPK;NPK;NPK;NPK
FERTIALT_DOSE;DOSE;100;100;0;0;100;100
FERTIALT_DOSE_P;DOSE_P;20;20;0;0;20;20
FERTIALT_DOSE_K;DOSE_K;10;10;0;0;10;10
FERTIALT_PROF_WSOL;EFFET_RUs;0;0;0;0;0;0
FERTIALT_AGRIW;;oui;oui;oui;oui;oui;oui
FERTIALT_OUTIL;;0;0;0;0;0;0
FERTIALT_TPS_TRAVAIL;TEMPS;3;3;3;3;3;3
FERTIALT_N_PASSAGES;;1;1;1;1;1;1
FERTIALT_OT_SIMULTANEE;;NA;NA;NA;NA;NA;NA
FERTIALT_N_SOUS_PERIODES;NB_SOUS_PERIODES;1;1;1;1;1;1
FERTIALT_DEBUT;DEBUT;166;166;166;166;166;166
FERTIALT_FIN;FIN;242;242;242;242;242;242
FERTIALT_HUM_MAX_SOL;HUMIDITE_SOL_MAX;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_PLUIE;JOURS_PLUIE;NA;NA;NA;NA;NA;NA
FERTIALT_CUMUL_PLUIE;HAUTEURS_PLUIE_MAX;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_PLUIE_EVA;JOURS_P-ETP;NA;NA;NA;NA;NA;NA
FERTIALT_CUMUL_PLUIE_EVA;P-ETP_MAX;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MIN;JOURS_TMIN;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MIN;TMIN_MIN;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MAX;;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MAX;;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MAX_INF;;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MAX_INF;;NA;NA;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE;ECHV_MIN;0.51;0.51;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE_PRE;ECHV_DEBUT;NA;NA;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE_POST;ECHV_FIN;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_PLUIE_PREVUE;JOURS_PLUIE_PREVUES;NA;NA;NA;NA;NA;NA
FERTIALT_CUMUL_PLUIE_PREVUE;HAUTEURS_PLUIE_PREVUES;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_HYGROMETRIE_MIN ;;NA;NA;NA;NA;NA;NA
FERTIALT_HYGROMETRIE_MIN;;NA;NA;NA;NA;NA;NA
FERTIALT_HAUTEUR_AU_MOINS_CUMUL_PLUIES_PREVUES;HAUTEUR_AU_PLUS_CUMUL_PLUIES_PREVUES;NA;NA;NA;NA;NA;NA
FERTIALT_NJ_AU_MOINS_CUMUL_PLUIES_PREVUES;NJ_AU_PLUS_CUMUL_PLUIES_PREVUES;NA;NA;NA;NA;NA;NA
