"ID_PDG";"DATE";"RRmm";"Tmin";"Tmax";"ETP";"RGI"
101;"01/01/2021";"0.0";"20.07";"39.08";"6.431580772564977";"5.4081377999999996"
101;"02/01/2021";"0.0";"18.53";"37.2";"5.876220624295593";"5.6743866"
101;"03/01/2021";"0.0";"15.99";"37.26";"5.195048871519623";"5.612274"
101;"04/01/2021";"0.0";"17.23";"39.17";"5.682615167937689";"5.5115172"
101;"05/01/2021";"0.0";"18.96";"38.93";"6.647447179430482";"5.282622"
101;"06/01/2021";"0.0";"19.21";"39.29";"6.190296016461583";"4.5674568"
101;"07/01/2021";"0.0";"16.06";"41.39";"5.343622328807612";"5.650703999999999"
101;"08/01/2021";"0.0";"17.13";"38.07";"5.078119449265509";"5.251914"
101;"09/01/2021";"0.0";"17.95";"33.34";"4.214207040229095";"5.333112"
101;"10/01/2021";"0.0";"17.57";"31.45";"6.026673610040343";"5.22891"
101;"11/01/2021";"0.0";"17.93";"30.32";"6.760657409998218";"5.119074"
101;"12/01/2021";"0.0";"18.98";"32.43";"6.286904106872249";"5.142281400000001"
101;"13/01/2021";"0.0";"16.88";"34.74";"6.231165218800358";"5.012982"
101;"14/01/2021";"0.0";"17.62";"37.22";"6.542474615070176";"4.7407986"
101;"15/01/2021";"0.0";"19.24";"36.1";"7.128133048773252";"4.1443200000000004"
101;"16/01/2021";"0.0";"18.47";"31.77";"6.418964653943993";"2.6076870000000003"
101;"17/01/2021";"0.0";"19.78";"31.41";"6.3439986677230475";"2.257866"
101;"18/01/2021";"0.0";"17.13";"30.71";"5.411166285076487";"1.3748795999999999"
101;"19/01/2021";"0.0";"16.48";"35.22";"6.451767076597433";"5.08005"
101;"20/01/2021";"0.0";"16.81";"36.82";"6.280578426331658";"4.8758886"
101;"21/01/2021";"0.0";"17.73";"39.38";"6.923037651561795";"4.904224200000001"
101;"22/01/2021";"0.0";"17.71";"35.98";"6.840605639527216";"2.7929502"
101;"23/01/2021";"0.0";"15.09";"34.3";"5.561166811586422";"2.2388238"
101;"24/01/2021";"0.0";"11.89";"36.56";"6.6766367591771845";"5.33727"
101;"25/01/2021";"0.0";"13.8";"38.17";"6.770455767116485";"4.956444"
101;"26/01/2021";"0.0";"13.04";"39.55";"6.911284746249777";"5.038758"
101;"27/01/2021";"0.0";"12.63";"39.68";"6.431606749435925";"5.188752"
101;"28/01/2021";"0.0";"15.53";"38.91";"6.634523166493278";"4.821426"
101;"29/01/2021";"0.0";"15.73";"37.45";"5.754079290654893";"2.6972874000000004"
101;"30/01/2021";"0.0";"15.36";"38.83";"6.071235218618826";"4.6372860000000005"
101;"31/01/2021";"0.0";"16.68";"36.66";"6.846154274788325";"4.443300000000001"
101;"01/02/2021";"0.0";"17.69";"38.73";"7.178101952285282";"5.88816"
101;"02/02/2021";"0.0";"13.57";"40.13";"5.732771926248191";"5.452056000000001"
101;"03/02/2021";"0.0";"15.84";"39.73";"5.314573289868362";"4.7427822"
101;"04/02/2021";"0.0";"19.33";"35.12";"4.6544121742822835";"3.24864"
101;"05/02/2021";"0.0";"17.33";"28.27";"3.4984603410571395";"3.9566358"
101;"06/02/2021";"0.0";"16.6";"25.84";"4.0022701254704725";"3.5784252000000003"
101;"07/02/2021";"0.0";"14.33";"33.48";"5.854673039507441";"5.855508"
101;"08/02/2021";"0.0";"17.1";"34.19";"6.631791283279774";"5.1656454"
101;"09/02/2021";"0.0";"18.58";"32.83";"5.267940455216547";"1.8762192000000002"
101;"10/02/2021";"0.0";"17.6";"36.69";"5.628295257373814";"3.9045096"
101;"11/02/2021";"0.0";"16.7";"40.02";"6.330423115817349";"5.9712119999999995"
101;"12/02/2021";"0.0";"16.5";"40.52";"6.810882564466707";"5.34726"
101;"13/02/2021";"0.0";"16.46";"39.71";"6.5462264344934855";"4.8678822"
101;"14/02/2021";"0.0";"19.07";"40.82";"6.622439861362161";"5.8436639999999995"
101;"15/02/2021";"0.0";"22.25";"37.98";"6.324633784839866";"4.0908258"
