nom;boue urbaine brute;boue urbaine deshydratee;boue urbaine epaissie chaulee;boue papeterie epaissies deshydratees;digestat agricole moyen;digestat biodechets moyenne;digestat voie seche;digestat CIVE brut;digestat CIVE liquide;digestat CIVE solide;fertilys;fumier bovin;fumier caprin;fumier ovin;fumier porc;fumier de cheval moyen;fumier de cheval pailleux;fumier de cheval fait;fumier volailles;fiente de poule brute;fiente de poule seche;lisier bovin;lisier de porc;lisier de porc seche;lisier de canard;compost dechets verts;compost dechets verts et biodechets;compost de dechets verts et boue;compost ordures menageres residuelles;compost de fumier bovin;compost de fumier porcin;refus lisier de porc;urine;vinasse sucrerie concentree;AH;AN;AP;AS;CAN;NK;NPK;NP;N_solutions;urea;mineral;P;PK;K
C;0.9;5;5.5;6.95;3.5;1.81;10;2.1;1.6;11.3;12.9585;8.25;18;12;14.55;18.25;27.3;9.2;22.3;8.5;23.8;3;1.7;35.65005;5;12;14.7;12.4;11.05;10.5;14.6;12.58333333;0.3;17.5;;;;;;;;;;;;;;
N;0.16;0.91;0.93;0.26;0.5;0.79;0.5;0.49;0.48;0.58;0.72861;0.57;0.61;0.8;0.81;0.745;0.87;0.62;2.03;1.63;3.5;0.23;0.45;4.55163;0.37;0.83;1.01;1.08;0.44;0.8;0.91;1.556666667;0.65;2.5;;;;;;;;;;;;;;
Norg;0.108;0.9;0.917;0.26;0.2;0.31;0.25;0.21;0.17;0.52;0.72861;0.456;0.549;0.64;0.58;0.62682249;0.733870968;0.519774011;1.28;0.83;3;0.115;0.2;4.49024;0.07;0.784;1.002733813;0.951;0.3952;0.76;0.75;1.58;0.1;2;;;;;;;;;;;;;;
Nmin;0.052;0.01;0.013;0;0.3;0.49;0.25;0.28;0.31;0.06;0;0.114;0.061;0.16;0.23;0.11817751;0.136129032;0.100225989;0.75;0.8;0.5;0.115;0.25;0.06139;0.3;0.046;0.007;0.132;0.045;0;0.16;0.04;0.55;0.5;;;;;;;;;;;;;;
CNorg;8.342532468;5.6;6;26.7;17.5;5.93;40;10;9.4;21.7;17.7852349;18.1;29.5;18.8;25.1;27.45;37.2;17.7;17.4;10.2;7.933333333;26.08695652;8.5;7.939453125;71.4;15.25037071;14.61005883;13.04096215;27.96052632;13.1;19.46666667;8.428617571;3;8.75;;;;;;;;;;;;;;
hum;94.5;83.5;75;27.5;90;95.6;50;93.7;96.1;72.8;51.1;78.9;55;69.7;67.1;45.75;33.6;57.9;43.7;72.5;28.9;92.4;95;12.3;93.3;43.4;37.71;50.8;34.3;67;60.5;59.33333333;98;45;;;;;;;;;;;;;;
K1;0.46;0.46;0.46;0.54;0.66;0.65;0.66;0.48;0.53;0.56;0.82;0.64;0.64;0.64;0.61;0.49;0.49;0.49;0.47;0.41;0.41;0.45;0.55;0.52;;0.82;0.77;0.79;0.53;0.71;0.63;0.63;0.5;0.3;;;;;;;;;;;;;;
C2;0.47;0.47;0.47;0.52;0.76;0.76;0.76;0.64;0.45;0.83;0.87;0.76;0.76;0.76;0.75;0.52;0.52;0.52;0.54;0.54;0.54;0.58;0.6;;;0.87;0.84;0.82;0.56;0.67;0.67;0.66;0;0;;;;;;;;;;;;;;
kres1;0.072;0.072;0.072;0.076;0.024;0.024;0.024;0.085;0.076;0.033;0.005;0.025;0.025;0.025;0.011;0.028;0.028;0.028;0.055;0.077;0.077;0.062;0.048;;;0.005;0.005;0.005;0.059;0.005;0.005;0.036;0.1;0.114;;;;;;;;;;;;;;
