ESPECE;maisP;maisDP;maisDT;maisT;maisTT;maisEnsil;semence;tour;CP;BD;orgeh;poish;poisp;feverole;colza;sorgho;soja;prairiet;prairiep;betterave;pdt;vergers;prune;vignes;gel;orgep;orgeEnsil;maisPP;orgeVert;ciPois;ciCruciLong;ciCruciCourt;ciVesce;ciRGI;TriticaleVert;ciSorgho;ciFeverole
RENDEMENT_MOYEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;NA;NA;NA;NA;NA;NA;NA
RENDEMENT_MIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA;NA;NA;NA;NA;NA;NA
RENDEMENT_OPTIMAL;NA;10;NA;14;NA;14;NA;3;9;NA;8;5;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;4;NA;NA;5;NA;NA;NA;NA
COULEUR_R;163;163;163;163;163;163;163;150;255;255;255;84;84;239;183;163;56;163;56;163;163;204;163;204;0;255;255;163;255;84;240;240;102;240;255;163;239
COULEUR_V;204;224;224;214;214;194;184;150;255;255;255;84;84;239;183;180;188;230;250;214;214;0;154;50;0;255;255;204;255;84;195;195;0;195;255;180;239
COULEUR_B;255;255;255;225;225;255;255;0;145;145;73;0;0;239;0;255;255;100;120;225;225;0;255;0;0;73;73;255;73;0;0;0;153;0;145;255;239
Tbase;6;6;6;6;6;6;6;4.8;0;0;0;0;0;0;0;6;5;0;0;3;2;0;0;0;0;0;0;6;0;0;0;1;4.1;0;0;6;0
Tmax;24;24;24;24;24;24;24;25;22;22;22;20;20;21;27;24;30;25;25;25;25;22;22;22;22;22;22;24;22;20;27;27;30;26;22;24;21
DEGRES_J_LevTbase;80;80;80;80;80;80;80;80;80;80;80;121;155;287;80;80;140;154;154;140;350;220;220;220;1000;80;80;80;80;121;80;125;160;154;80;80;287
DEGRES_J_Flor;875;900;1000;1015;1072;1000;900;1120;1300;1300;1150;900;848;1278;1450;1140;1450;1400;1400;1200;1015;2000;2000;2000;2000;860;1150;825;1150;900;1450;1200;2000;1400;1300;1140;1278
DEGRES_J_matPhyTbase;1745;1850;1910;1980;2070;1500;1850;1720;2015;2015;1850;1705;1570;1866;2150;1915;2000;2170;2170;3360;2140;3100;3100;3100;0;1388;1850;1700;1850;1705;2150;1400;2200;2170;2015;1915;1866
FREIN;1;1;1;1;1;1;1;1;0.43;0.43;0.43;0.43;1;0.43;0.2;1;1;0.3;0.3;1;1;1;1;1;1;0.43;0.43;1;0.43;0.43;0.2;1;1;0.3;0.43;1;0.43
CRACINE;10;10;10;10;10;10;10;8;9;9;9;9;9;8;9;9;8;9;9;10;10;15;15;15;10;9;9;10;9;9;9;8;8;9;9;9;8
CVIG;1;0.8;0.9;1;0.98;0.9;0.8;1.29;1.1;1.1;1.1;0.6;0.6;1.3;1;0.9;1.3;0.5;1;0.73;0.82;0.8;0.8;0.8;0.9;1.1;1.1;0.7;1.1;0.6;1;0.7;1.5;1;1.1;0.9;1.3
