FERTIALT_NOM_ITK;;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_mineral;ble_tousSols_nonirr_mineral;ble_tousSols_nonirr_mineral;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;orgeH_tousSols_nonirr_mineral;orgeH_tousSols_nonirr_mineral;colza_tousSols_nonirr_mineral;colza_tousSols_nonirr_mineral;ble_tousSols_irr_organique;ble_tousSols_irr_organique;ble_tousSols_irr_organique;ble_tousSols_irr_mineral;ble_tousSols_irr_mineral;ble_tousSols_irr_mineral;colza_tousSols_irr_mineral;colza_tousSols_irr_mineral;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;orgeH_tousSols_irr_mineral;orgeH_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;maisDP_accalmie;maisDP_accalmie;maisDP_accalmie;maisDP_accalmie;MaisEnsil_preCI_accalmie;MaisEnsil_preCI_accalmie;MaisEnsil_preCI_accalmie;tour_accalmie;tour_accalmie;tour_accalmie;orgep_accalmie;orgep_accalmie;PrairieP_ammo_typeA_F;PrairieP_ammo_typeA_P;PrairieP_ammo_typeA_FP;PrairieP_ammo_typeB_F;PrairieP_ammo_typeB_P;PrairieP_ammo_typeB_FP
FERTIALT_NOM_ALTERNATIVE;;fumier;fumier;fumier;mineral-exclusif;mineral-exclusif;mineral-exclusif;fumier;fumier;fumier;fumier;fumier;fumier;fumier;fumier;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fumier;fumier;fumier;mineral-exclusif;mineral-exclusif;mineral-exclusif;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;fertilisation minerale;mineral_exclusif;mineral_exclusif;mineral_exclusif;mineral_exclusif;mineral_exclusif;mineral_exclusif;mineral_exclusif;mineral_exclusif;Nom strategie 1;Nom strategie 1;Nom strategie 1;Nom strategie 1;Nom strategie 1;Nom strategie 1;organique;organique;organique;mineral;mineral;mineral;organique;organique;organique;mineral;mineral;mineral;strategie1;strategie1;strategie1;strategie1;strategie1;strategie1;strategie1;strategie1;Org+min;Org+min;Org+min;Org+min;Org+min;Org+min;Org+min;MIN;MIN;MIN;MIN;MIN;min;min;min;min;min;min
FERTIALT_ORDRE_ALTERNATIVE;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FERTIALT_ORDRE_APPORT;;1;3;2;1;3;2;1;4;3;2;1;2;3;4;1;2;1;2;1;3;2;1;3;2;1;2;1;2;1;2;1;2;2;4;1;3;3;1;2;4;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;1;1;1;1;1;1;1;1;2;3;4;1;2;3;1;2;3;1;2;1;1;1;1;1;1
FERTIALT_NOM_PRODUIT;;fumier bovin;AN;NK;mineral;PK;AN;fumier bovin;urea;urea;NP;fumier bovin;NP;urea;urea;AN;AN;N_solutions;N_solutions;fumier bovin;AN;NK;mineral;PK;AN;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;AN;AN;urea;PK;NP;urea;urea;NP;urea;PK;fumier volailles;N_solutions;N_solutions;fumier volailles;N_solutions;N_solutions;fumier bovin;N_solutions;N_solutions;mineral;N_solutions;N_solutions;fumier bovin;N_solutions;N_solutions;mineral;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;fumier bovin;NP;urea;urea;NP;urea;urea;P;K;AN;AN;AN;AN;AN;AN;AN;AN;AN
FERTIALT_DOSE;DOSE;22;100.5;42;52;0;100.5;22;99.975;90.675;18;22;18;80.91;86.955;49.915;96.815;75.85;94.72;22;100.5;42;52;0;100.5;75.85;94.72;75.85;94.72;75.85;94.72;49.915;96.815;90.675;0;18;99.975;120.9;18;80.91;0;35;59.2;118.4;35;59.2;118.4;22;74;74;59.8;74;74;22;74;74;59.8;74;74;50;30;30;30;50;30;30;30;33;18;50.22;50.22;18;59.985;59.985;0;0;59.965;59.965;59.965;45.225;45.225;45.225;45.225;45.225;45.225
FERTIALT_DOSE_P;DOSE_P;0;0;0;0;49.95;0;0;0;0;46;0;46;0;0;0;0;0;0;0;0;0;0;49.95;0;0;0;0;0;0;0;0;0;0;49.95;46;0;0;46;0;49.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;46;0;0;40.02;0;0;0;0;0;0;0;0;0;0
FERTIALT_DOSE_K;DOSE_K;0;0;22;0;99.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.9;0;0;0;0;0;0;0;0;0;0;99.9;0;0;0;0;0;99.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79.8;0;0;0;0;0;0;0;0;0
FERTIALT_PROF_WSOL;EFFET_RUs;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_AGRIW;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui
FERTIALT_OUTIL;;NA;0;0.11;0;0.3;0;NA;0;0;0;NA;0;0;0;0;0;0;0;NA;0;0.11;0;0.3;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.3;NA;0;0;NA;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0
