ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
13218;01/01/2042;1.604;2.536;5.57;0.174;1.468
13218;01/01/2042;4.435;0.366;9.382;0.241;1.873
13218;01/01/2042;4.127;2.853;8.291;0.526;1.263
13218;02/01/2042;0;1.588;7.116;0.379;5.518
13218;02/01/2042;0.274;4.036;6.605;0.303;2.039
13218;02/01/2042;0.611;-1.074;8.827;0.324;1.056
13218;03/01/2042;5.9;2.553;7.344;0.153;1.767
13218;03/01/2042;0.883;0.94;1.336;0.382;0.709
13218;03/01/2042;3.082;3.678;5.801;0.305;0.894
13218;04/01/2042;0.551;4.137;6.447;0.287;2.743
13218;04/01/2042;5.16;2.636;8.095;0.192;0.831
13218;04/01/2042;0;-0.995;3.725;0.301;3.939
13218;05/01/2042;0;0.118;4.093;0.285;1.769
13218;05/01/2042;4.502;3.643;4.929;0.496;1.779
13218;05/01/2042;0.387;5.216;7.878;0.322;1.759
13218;06/01/2042;0;2.419;6.612;0.422;3.294
13218;06/01/2042;0.113;2.801;8.36;0.299;1.399
13218;06/01/2042;2.054;3.177;4.404;0.256;0.848
13218;07/01/2042;6.049;3.19;6.195;0.247;1.128
13218;07/01/2042;3.946;3.601;9.484;0.165;1.779
13218;07/01/2042;6.428;3.759;10.386;0.753;1.646
13218;08/01/2042;1.752;10.77;13.416;0.327;1.443
13218;08/01/2042;1.174;3.592;7.68;0.155;2.515
13218;08/01/2042;4.608;5.093;11.965;0.284;0.776
13218;09/01/2042;0.275;6.756;11.922;0.383;2.824
13218;09/01/2042;0;9.612;13.086;0.396;4.005
13218;09/01/2042;0;1.63;2.942;0.514;2.099
13218;10/01/2042;0;7.521;13.582;0.576;4.866
13218;10/01/2042;0.071;-0.782;0.779;0.384;3.471
13218;10/01/2042;1.652;3.56;11.567;0.234;0.645
13218;11/01/2042;0;1.002;8.894;0.467;4.93
13218;11/01/2042;0;-1.418;1.706;0.232;3.003
13218;11/01/2042;0;6.791;12.965;0.782;4.928
13218;12/01/2042;4.687;-0.2;3.682;0.156;2.8
13218;12/01/2042;2.454;8.549;10.568;1.075;2.555
13218;12/01/2042;0;0.018;4.75;0.197;3.349
13218;13/01/2042;0;3.12;8.242;0.204;1.667
13218;13/01/2042;0;3.136;6.558;0.204;1.328
13218;13/01/2042;6.584;5.684;7.548;0.508;1.513
13218;14/01/2042;1.827;6.466;9.603;0.209;0.579
13218;14/01/2042;2.598;1.27;6.293;0.273;0.996
13218;14/01/2042;0;7.411;8.626;0.327;1.708
13218;15/01/2042;0.354;7.427;10.045;0.424;0.867
13218;15/01/2042;0;-0.423;3.709;0.467;3.113
13218;15/01/2042;4.06;4.448;9.959;0.751;2.056
13218;16/01/2042;1.812;5.427;10.745;0.46;3.306
13218;16/01/2042;2.213;-0.669;6.257;0.34;1.844
13218;16/01/2042;0.125;8.127;10.32;0.475;2.283
13218;17/01/2042;0.347;7.712;9.241;0.454;1.521
13218;17/01/2042;0;6.673;7.822;1.076;2.585
13218;17/01/2042;0;4.454;8.586;0.662;4.941
13218;18/01/2042;1.46;5.336;9.027;0.19;0.81
13218;18/01/2042;0;4.596;7.043;0.637;1.918
13218;18/01/2042;8.557;5.399;7.814;0.272;1.061
13218;19/01/2042;11.708;5.195;9.022;0.354;1.053
13218;19/01/2042;0.507;7.645;10.176;0.268;1.333
13218;19/01/2042;1.801;5.772;8.559;0.353;0.627
13218;20/01/2042;0.348;8.455;11.39;0.57;1.282
13218;20/01/2042;0;1.953;6.787;0.621;4.454
13218;20/01/2042;0.521;1.702;10.554;0.579;4.581
13218;21/01/2042;2.35;1.005;4.966;0.372;2.399
13218;21/01/2042;1.363;3.821;9.68;0.67;6.066
13218;21/01/2042;13.783;2.356;9.951;0.348;0.901
13218;22/01/2042;3.805;7.607;10.1;0.33;2.145
13218;22/01/2042;0.399;3.089;10.438;0.137;3.13
13218;22/01/2042;0;4.128;6.535;0.812;6.487
13218;23/01/2042;0.056;1.488;6.754;0.594;4.503
13218;23/01/2042;1.489;2.891;7.36;0.385;3.08
13218;23/01/2042;0;4.553;8.149;0.748;4.9
13218;24/01/2042;3.337;4.901;11.608;0.19;0.887
13218;24/01/2042;0.299;4.629;8.328;0.675;3.09
13218;24/01/2042;2.959;2.654;7.177;0.473;1.14
13218;25/01/2042;0;6.373;7.887;0.484;1.968
13218;25/01/2042;4.494;10.727;11.579;0.386;0.821
13218;25/01/2042;1.842;6.733;8.365;0.593;0.859
13218;26/01/2042;0.541;5;8.154;0.482;3.276
13218;26/01/2042;3.614;4.887;10.36;0.739;3.301
13218;26/01/2042;0.181;10.03;12.737;1.032;5.042
13218;27/01/2042;12.055;6.329;10.001;0.946;1.172
13218;27/01/2042;2.343;1.531;6.276;0.467;4.076
13218;27/01/2042;0;5.867;7.627;0.974;6.861
13218;28/01/2042;0.659;5.048;7.298;0.417;2.508
13218;28/01/2042;0.12;4.864;6.747;0.998;4.504
13218;28/01/2042;0.675;-0.826;3.586;0.66;7.505
13218;29/01/2042;0;-1.674;2.169;0.31;5.415
13218;29/01/2042;5.808;6.595;9.153;0.339;0.987
13218;29/01/2042;1.296;1.242;5.641;0.512;6.49
13218;30/01/2042;0;0.463;5.645;0.756;8.442
13218;30/01/2042;0;-2.909;1.848;0.26;7.829
13218;30/01/2042;0;4.93;8.817;0.594;4.367
13218;31/01/2042;0;0.687;6.277;0.448;7.22
13218;31/01/2042;0;-1.54;2.389;0.465;7.875
13218;31/01/2042;0;-1.987;1;0.384;7.568
13218;01/02/2042;0;-4.463;0.95;0.221;5.684
13218;01/02/2042;0;-0.717;3.098;0.45;6.231
13218;01/02/2042;0.259;-2.49;1.003;0.337;6.869
13218;02/02/2042;0.868;-0.61;2.796;0.335;2.462
13218;02/02/2042;0;-3.575;1.015;0.266;5.588
13218;02/02/2042;0;-1.945;3.9;0.563;8.921
13218;03/02/2042;0;-3.003;3.593;0.37;9.227
13218;03/02/2042;0.293;1.359;6.069;0.339;3.48
13218;03/02/2042;6.239;2.528;4.236;0.227;2.054
13218;04/02/2042;6.651;0.738;6.453;0.259;1.394
13218;04/02/2042;0;-2.007;5.288;0.319;9.262
13218;04/02/2042;0;1.769;6.264;0.38;5.983
13218;05/02/2042;0;0.375;8.725;0.539;9.337
13218;05/02/2042;1.177;2.967;5.941;0.19;4.048
13218;05/02/2042;0;-0.809;5.099;0.466;7.017
13218;06/02/2042;0;-1.767;6.374;0.621;9.745
13218;06/02/2042;0;1.911;10.272;0.919;8.14
13218;06/02/2042;0;1.861;5.748;0.351;5.576
13218;07/02/2042;0.453;0.677;4.448;0.401;4.003
13218;07/02/2042;0.071;-1.65;5.044;0.648;9.997
13218;07/02/2042;0;3.09;6.581;0.64;6.197
13218;08/02/2042;0.392;3.054;6.445;0.278;1.429
13218;08/02/2042;5.696;4.564;12.146;0.728;5.628
13218;08/02/2042;0;0.595;11.731;0.964;5.359
13218;09/02/2042;0.635;6.045;11.859;1.041;7.763
13218;09/02/2042;0;3.772;8.292;0.442;3.938
13218;09/02/2042;32.204;3.45;5.13;0.342;1.089
13218;10/02/2042;0;3.193;9.312;0.658;3.541
13218;10/02/2042;0.652;8.147;13.265;0.916;3.162
13218;10/02/2042;0;1.737;9.448;0.507;7.674
13218;11/02/2042;3.129;2.829;10.468;0.577;2.954
13218;11/02/2042;0;0.228;7.347;0.783;7.446
13218;11/02/2042;2.437;6.633;10.766;0.434;2.519
13218;12/02/2042;1.354;6.326;11.188;0.635;4.19
13218;12/02/2042;4.394;7.06;11.215;0.288;1.273
13218;12/02/2042;0;-1.879;6.912;0.597;7.643
13218;13/02/2042;4.173;0.006;3.523;0.349;1.271
13218;13/02/2042;0;5.321;11.793;0.686;8.737
13218;13/02/2042;0.815;9.884;14.652;0.993;3.337
13218;14/02/2042;4.992;6.512;11.603;1.695;6.255
13218;14/02/2042;3.032;0.316;8.282;0.256;1.491
13218;14/02/2042;0;2.166;10.707;0.781;4.91
13218;15/02/2042;3.648;5.883;11.16;0.789;1.831
13218;15/02/2042;0.424;3.717;8.131;0.786;7.341
13218;15/02/2042;4.286;5.793;11.209;0.567;5.892
13218;16/02/2042;6.856;6.833;12.071;1.028;2.081
13218;16/02/2042;13.365;1.946;4.929;0.276;2.622
13218;16/02/2042;1.131;5.218;13.356;0.678;4.224
13218;17/02/2042;0.472;9.034;12.204;0.547;3.044
13218;17/02/2042;0;3.348;7.771;1.042;6.393
13218;17/02/2042;1.936;2.888;5.353;0.93;7.683
13218;18/02/2042;5.405;2.776;3.571;0.281;1.846
13218;18/02/2042;1.143;6.841;10.099;1.044;8.667
13218;18/02/2042;0;1.966;5.338;0.548;5.719
13218;19/02/2042;0;-0.563;5.361;0.724;7.529
13218;19/02/2042;0.063;3.983;7.757;0.713;7.446
13218;19/02/2042;2.532;4.744;7.823;0.604;4.594
13218;20/02/2042;0;1.832;8.597;1.001;7.675
13218;20/02/2042;1.42;-1.155;3.199;0.452;4.67
13218;20/02/2042;0;4.391;13.237;0.968;6.841
13218;21/02/2042;3.608;9.503;14.619;1.664;8.921
13218;21/02/2042;3.907;1.607;6.372;0.524;2.648
13218;21/02/2042;8.743;3.289;4.309;0.254;2.063
13218;22/02/2042;1.59;2.698;7.025;0.789;9.844
13218;22/02/2042;0.232;9.552;12.652;1.507;10.343
13218;22/02/2042;2.692;4.516;12.397;0.613;8.296
13218;23/02/2042;0;6.369;11.666;1.557;12.406
13218;23/02/2042;0;2.392;6.581;1.275;13.068
13218;23/02/2042;4.531;9.038;11.702;1.154;3.594
13218;24/02/2042;13.595;6.01;11.425;0.916;5.729
13218;24/02/2042;0;1.236;5.285;1.447;10.787
13218;24/02/2042;0;1.317;8.663;0.572;9.826
13218;25/02/2042;0;5.173;11.687;0.996;7.307
13218;25/02/2042;0;-0.041;2.231;1.323;7.224
13218;25/02/2042;3.459;6.269;9.964;0.57;5.838
13218;26/02/2042;6.486;3.133;11.113;0.348;5.687
13218;26/02/2042;3.243;-0.746;-0.47;0.355;2.307
13218;26/02/2042;1.99;5.282;8.629;0.795;8.804
13218;27/02/2042;3.696;-0.43;1.693;0.412;3.146
13218;27/02/2042;0.815;2.816;7.416;0.918;10.904
13218;27/02/2042;0.745;0.976;5.602;1.187;6.12
13218;28/02/2042;0.341;-0.509;8.28;1.385;13.044
13218;28/02/2042;0;-0.834;2.232;0.562;7.464
13218;28/02/2042;0.572;3.605;7.174;0.823;7.471
13218;01/03/2042;0;0.021;7.062;0.959;4.538
13218;01/03/2042;0;3.333;5.495;0.872;2.812
13218;01/03/2042;0;-1.135;9.213;1.036;11.311
13218;02/03/2042;0;-2.29;13.154;1.095;8.968
13218;02/03/2042;0;0.34;5.525;1.247;9.082
13218;02/03/2042;3.935;-0.351;1.775;0.311;1.918
13218;03/03/2042;0.677;-0.177;2.773;0.52;2.881
13218;03/03/2042;2.23;2.348;5.667;0.409;4.27
13218;03/03/2042;1.706;1.763;9.532;0.351;1.709
13218;04/03/2042;0;0.629;12.937;1.123;9.746
13218;04/03/2042;0;-1.609;1.364;0.687;8.039
13218;04/03/2042;0.875;3.062;6.769;0.644;4.478
13218;05/03/2042;0;1.111;10.718;0.882;6.141
13218;05/03/2042;0;-2.264;2.731;0.369;3.217
13218;05/03/2042;0;1.201;12.741;0.688;9.089
13218;06/03/2042;0;4.314;14.839;0.727;6.213
13218;06/03/2042;0;-2.729;4.599;0.86;11.285
13218;06/03/2042;0;2.729;11.65;1.001;3.169
13218;07/03/2042;0;-1.865;6.543;0.833;8.416
13218;07/03/2042;0;1.892;11.464;1.337;11.272
13218;07/03/2042;0;9.021;13.305;0.941;2.863
13218;08/03/2042;0;6.383;21.32;1.625;11.656
13218;08/03/2042;0;-2.33;10.368;1.719;13.461
13218;08/03/2042;5.157;2.885;11.161;0.959;5.4
13218;09/03/2042;0;2.239;9.389;1.131;9.063
13218;09/03/2042;0;9.609;22.128;2.645;12.772
13218;09/03/2042;0;-0.865;13.161;1.687;13.061
13218;10/03/2042;1.747;3.708;8.16;0.382;3.206
