Pesticide;Machinery use;Landscape simplification;Anthropogenic pressures Vertebrates
High;High;High;High
High;High;Medium to high;High
High;High;Low to medium;High
High;High;Low;Medium to high
High;Medium;High;High
High;Medium;Medium to high;High
High;Medium;Low to medium;Medium to high
High;Medium;Low;Low to medium
High;Low;High;High
High;Low;Medium to high;Medium to high
High;Low;Low to medium;Medium to high
High;Low;Low;Low to medium
Medium;High;High;High
Medium;High;Medium to high;Medium to high
Medium;High;Low to medium;Medium to high
Medium;High;Low;Low to medium
Medium;Medium;High;High
Medium;Medium;Medium to high;Medium to high
Medium;Medium;Low to medium;Low to medium
Medium;Medium;Low;Low to medium
Medium;Low;High;Medium to high
Medium;Low;Medium to high;Medium to high
Medium;Low;Low to medium;Low to medium
Medium;Low;Low;Low
Low;High;High;Medium to high
Low;High;Medium to high;Medium to high
Low;High;Low to medium;Low to medium
Low;High;Low;Low
Low;Medium;High;Medium to high
Low;Medium;Medium to high;Medium to high
Low;Medium;Low to medium;Low to medium
Low;Medium;Low;Low
Low;Low;High;Medium to high
Low;Low;Medium to high;Low to medium
Low;Low;Low to medium;Low
Low;Low;Low;Low
